Град,Област,lat,lng,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
гр. ЕТРОПОЛЕ,СОФИЯ-ОБЛАСТ,42.8346449,24.0011691,35,20,11,13,5,10,10,7,7,20,9,16,18,44,39,29,28,16,8
гр. ЗАВЕТ,РАЗГРАД,43.7584757,26.6782771,12,11,1,0,0,2,1,3,2,5,1,2,2,7,5,4,4,3,6
гр. ЗЕМЕН,ПЕРНИК,42.4780799,22.747208,14,3,1,1,1,0,0,0,0,3,3,0,0,2,0,4,5,2,0
гр. ЗЛАТАРИЦА,ВЕЛИКО ТЪРНОВО,43.0467786,25.8905654,10,4,1,0,0,0,1,1,3,3,3,1,0,4,4,7,7,4,1
гр. ЗЛАТИЦА,СОФИЯ-ОБЛАСТ,42.7137633,24.1388694,25,11,10,3,2,2,2,3,5,10,7,5,10,14,16,17,9,6,4
гр. ЗЛАТОГРАД,СМОЛЯН,41.3801993,25.0934335,27,17,8,4,8,6,7,11,10,21,12,13,8,24,23,26,14,23,17
гр. ИВАЙЛОВГРАД,ХАСКОВО,41.5276009,26.1251381,9,3,3,8,2,1,1,1,1,8,1,2,7,13,10,4,3,7,7
гр. ИСКЪР,ПЛЕВЕН,43.4557541,24.2620169,10,2,3,0,1,0,1,0,0,0,1,2,0,3,5,2,2,4,2
гр. ИСПЕРИХ,РАЗГРАД,43.7136243,26.83212,61,17,13,9,7,4,7,12,18,31,12,8,14,36,31,25,21,13,15
гр. ИХТИМАН,СОФИЯ-ОБЛАСТ,42.4382752,23.8160678,42,14,11,3,8,9,6,9,14,23,20,15,13,30,24,29,20,24,20
гр. КАБЛЕШКОВО,БУРГАС,42.6595923,27.566179,8,3,5,1,1,1,0,1,3,1,2,5,6,7,11,6,3,4,4
гр. КАВАРНА,ДОБРИЧ,43.4345492,28.3389031,71,23,11,5,8,2,5,9,20,28,15,16,21,50,63,37,31,23,19
гр. КАЗАНЛЪК,СТАРА ЗАГОРА,42.6187175,25.3944566,352,128,79,55,45,72,59,62,83,131,106,87,109,215,200,138,122,128,77
гр. КАЛОФЕР,ПЛОВДИВ,42.6117,24.9745,7,1,3,2,1,2,0,0,0,3,3,1,0,4,4,5,2,2,4
гр. КАМЕНО,БУРГАС,42.5729905,27.2957898,19,3,2,2,1,0,4,0,2,9,4,7,12,14,12,7,15,8,8
гр. КАОЛИНОВО,ШУМЕН,43.6169369,27.0908831,5,1,0,0,0,0,0,1,1,1,0,1,0,2,2,1,3,2,5
гр. КАРЛОВО,ПЛОВДИВ,42.6433499,24.8072274,131,39,35,20,14,14,37,20,31,59,30,37,45,84,76,60,49,32,35
гр. КАРНОБАТ,БУРГАС,42.6470846,26.9845612,131,30,20,14,13,12,20,19,17,41,15,26,17,57,41,39,32,25,18
гр. КАСПИЧАН,ШУМЕН,43.3113327,27.1570166,20,3,7,2,1,3,1,3,8,7,8,7,8,9,8,7,3,5,5
гр. КЕРМЕН,СЛИВЕН,42.5062237,26.2576119,6,3,1,0,1,1,1,1,2,2,2,1,2,8,4,3,5,2,2
гр. КИЛИФАРЕВО,ВЕЛИКО ТЪРНОВО,42.994269,25.6213217,8,4,2,0,1,3,3,2,0,0,2,4,1,8,8,3,4,2,4
гр. КИТЕН,БУРГАС,42.2367,27.7756,0,0,0,0,0,0,1,0,1,2,1,1,0,1,10,7,15,8,6
гр. КЛИСУРА,ПЛОВДИВ,42.69458,24.44977,1,1,0,0,0,0,1,2,0,0,1,0,1,1,0,1,0,1,0
гр. КНЕЖА,ПЛЕВЕН,43.4979842,24.0811696,53,24,16,2,10,7,7,11,14,14,10,7,12,27,21,35,11,15,18
гр. КОЗЛОДУЙ,ВРАЦА,43.7785559,23.7216587,48,13,10,5,14,12,9,12,15,34,15,7,17,23,24,18,22,11,13
гр. КОЙНАРЕ,ПЛЕВЕН,43.3572062,24.1446198,4,7,1,0,0,2,2,1,2,1,2,3,1,1,4,7,0,2,1
гр. КОПРИВЩИЦА,СОФИЯ-ОБЛАСТ,42.6372749,24.3598068,3,3,2,0,2,0,1,1,0,5,3,0,1,9,6,10,5,2,3
гр. КОСТАНДОВО,ПАЗАРДЖИК,42.0247514,24.1099978,3,1,2,3,0,2,0,1,0,6,1,3,0,3,1,1,2,2,1
гр. КОСТЕНЕЦ,СОФИЯ-ОБЛАСТ,42.3079624,23.8578108,50,32,17,6,9,10,5,7,14,16,18,11,13,14,16,11,12,16,12
гр. КОСТИНБРОД,СОФИЯ-ОБЛАСТ,42.8184129,23.2249747,57,28,40,25,14,22,15,16,22,21,30,28,27,48,56,44,49,33,30
гр. КОТЕЛ,СЛИВЕН,42.8892583,26.4473197,26,1,7,0,4,2,0,3,4,4,9,7,7,10,8,7,4,8,3
гр. КОЧЕРИНОВО,КЮСТЕНДИЛ,42.0862267,23.0580011,3,0,1,0,2,0,0,0,0,1,0,1,1,2,2,4,1,0,0
гр. КРЕСНА,БЛАГОЕВГРАД,41.7207983,23.1600632,22,7,4,0,0,2,4,1,3,11,5,2,6,13,9,14,20,4,5
гр. КРИВОДОЛ,ВРАЦА,43.3726088,23.4817076,13,4,3,0,2,2,3,3,2,8,3,3,4,5,6,4,4,4,2
гр. КРИЧИМ,ПЛОВДИВ,42.0470458,24.4664842,21,7,3,7,2,2,7,6,7,6,6,2,6,14,9,11,7,6,3
гр. КРУМОВГРАД,КЪРДЖАЛИ,41.4726748,25.6542541,18,1,4,2,1,0,4,4,1,14,7,2,5,11,10,10,12,3,5
гр. КРЪН,СТАРА ЗАГОРА,42.666,25.382,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,4
гр. КУБРАТ,РАЗГРАД,43.7968943,26.5004009,65,26,7,10,2,4,7,9,13,18,18,14,13,29,30,27,16,12,6
гр. КУКЛЕН,ПЛОВДИВ,42.0341472,24.7876207,2,1,0,0,0,1,0,0,0,2,1,2,3,6,17,17,8,12,5
гр. КУЛА,ВИДИН,43.8902565,22.5232227,8,3,1,0,6,3,2,1,2,4,1,0,2,8,4,3,6,1,2
гр. КЪРДЖАЛИ,КЪРДЖАЛИ,41.641,25.370,222,129,69,51,35,35,44,47,57,123,81,86,116,199,182,119,110,79,91
гр. КЮСТЕНДИЛ,КЮСТЕНДИЛ,42.281243,22.6882375,260,121,77,34,38,44,46,34,55,113,69,70,88,211,150,118,99,117,111
гр. ЛЕВСКИ,ПЛЕВЕН,43.3592923,25.1419112,99,28,16,9,10,11,10,10,9,12,18,14,17,23,22,18,18,17,13
гр. ЛЕТНИЦА,ЛОВЕЧ,43.3072139,25.0583946,38,18,2,6,2,2,1,4,2,2,2,1,3,3,10,4,3,5,1
гр. ЛОВЕЧ,ЛОВЕЧ,43.1348381,24.7172623,304,137,99,37,44,43,51,45,66,107,60,77,80,163,154,103,79,70,55
гр. ЛОЗНИЦА,РАЗГРАД,43.3714932,26.5987787,7,1,2,1,3,6,2,0,4,8,2,4,8,4,12,6,4,5,1
гр. ЛОМ,МОНТАНА,43.8256202,23.2375041,94,42,34,40,15,18,24,26,35,63,38,30,34,48,53,47,38,27,11
гр. ЛУКОВИТ,ЛОВЕЧ,43.2058127,24.1634576,35,17,6,2,4,6,8,2,4,13,7,4,11,29,28,28,9,16,16
гр. ЛЪКИ,ПЛОВДИВ,41.8333968,24.8311803,7,0,0,0,1,3,4,0,3,4,4,1,2,7,2,4,3,1,7
гр. ЛЮБИМЕЦ,ХАСКОВО,41.8430588,26.0806539,20,5,2,5,3,3,3,3,8,10,3,7,10,17,16,8,12,5,11
